turbine,case,count,mean,min,max,std
T17,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T17,LES,6,144281.89270077276,120305.94602095611,166972.55874976207,18495.493831657197
T30,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T30,LES,6,145381.76358005722,119649.03828974062,166887.60633244968,18373.74135706166
T119,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T119,LES,6,164935.38180241227,139752.58917502937,187558.173031709,19484.632822574116
T120,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T120,LES,6,156267.42005721465,132126.12773670215,178477.0108523985,19382.02607567001
T135,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T135,LES,6,151723.4371623,130568.32985647857,171902.37144461035,17599.758132013903
T136,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T136,LES,6,152386.9860780287,129684.94931456434,175353.6051073934,17965.249622834697
T225,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T225,LES,6,156318.83041334388,130341.04564163115,185991.99454113303,18972.850685648427
T238,Ieff,6,231127.6321255154,197133.19650380168,258908.69554952267,23521.51403863579
T238,LES,6,160643.7957449243,139255.73305367836,180192.5034949229,17542.54541730488
