turbine,case,count,mean,min,max,std
T17,LES,6,144281.89270077276,120305.94602095611,166972.55874976207,18495.493831657197
T17,Waked_BPA,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T17,Waked_NPA,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T17,Waked_TurbOPark_A0.04,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T17,Waked_TurbOPark_A0.06,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T30,LES,6,145381.76358005722,119649.03828974062,166887.60633244968,18373.74135706166
T30,Waked_BPA,6,146290.16171862284,130067.97543637796,169984.2530690437,16246.204288135794
T30,Waked_NPA,6,146298.09321342633,130066.39616338893,169999.46361294916,16248.904401941016
T30,Waked_TurbOPark_A0.04,6,146301.09696207228,130067.40819241814,170004.58307620848,16250.098317237653
T30,Waked_TurbOPark_A0.06,6,146301.30229860698,130067.44395543495,170000.87266983898,16248.395516310946
T119,LES,6,164935.38180241227,139752.58917502937,187558.173031709,19484.632822574116
T119,Waked_BPA,6,248467.8599555757,213063.78159694793,283319.4069614583,27618.079061183522
T119,Waked_NPA,6,221595.81964721822,190761.535882167,250658.14274274925,23603.524665134686
T119,Waked_TurbOPark_A0.04,6,162185.38593527526,140986.69789995553,184720.57757706448,18302.562131555795
T119,Waked_TurbOPark_A0.06,6,172330.2295134259,147546.69976382548,200121.44008436622,20423.841638718903
T120,LES,6,156267.42005721465,132126.12773670215,178477.0108523985,19382.02607567001
T120,Waked_BPA,6,248467.8599555757,213063.78159694793,283319.4069614583,27618.079061183522
T120,Waked_NPA,6,221595.81964721822,190761.535882167,250658.14274274925,23603.524665134686
T120,Waked_TurbOPark_A0.04,6,150520.06426995603,131863.15779692872,173893.54409844085,16934.411553911228
T120,Waked_TurbOPark_A0.06,6,160728.80906932443,139440.08188177465,186533.25457201668,18251.985476556107
T135,LES,6,151723.4371623,130568.32985647857,171902.37144461035,17599.758132013903
T135,Waked_BPA,6,244326.17731745812,208271.19096677523,278709.8112860093,27137.452890582532
T135,Waked_NPA,6,219589.7618151779,187434.7027950688,255185.0749859587,25756.79312355054
T135,Waked_TurbOPark_A0.04,6,150521.0217903168,131866.15747836302,173892.9006183983,16933.272757223047
T135,Waked_TurbOPark_A0.06,6,160726.26423435434,139407.25842446898,186548.72945621886,18261.68217401413
T136,LES,6,152386.9860780287,129684.94931456434,175353.6051073934,17965.249622834697
T136,Waked_BPA,6,244455.739707257,208270.90051696167,278703.37939430063,27069.43087589281
T136,Waked_NPA,6,219564.28854839518,187429.65663094172,255159.00872699113,25752.01495059306
T136,Waked_TurbOPark_A0.04,6,150521.0217903168,131866.15747836302,173892.9006183983,16933.272757223047
T136,Waked_TurbOPark_A0.06,6,160726.26423435434,139407.25842446898,186548.72945621886,18261.68217401413
T225,LES,6,156318.83041334388,130341.04564163115,185991.99454113303,18972.850685648427
T225,Waked_BPA,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T225,Waked_NPA,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T225,Waked_TurbOPark_A0.04,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T225,Waked_TurbOPark_A0.06,6,146300.97808754005,130067.22810358704,170004.78200308027,16249.964671288248
T238,LES,6,160643.7957449243,139255.73305367836,180192.5034949229,17542.54541730488
T238,Waked_BPA,6,235963.23921143895,200490.9695241541,275278.9403309016,28793.53415982483
T238,Waked_NPA,6,214333.78289832603,180726.41775056534,251158.85527628477,26592.984107052464
T238,Waked_TurbOPark_A0.04,6,153572.20076825385,136986.6679796043,173451.6854307351,15882.77777333199
T238,Waked_TurbOPark_A0.06,6,165959.37416637826,141200.2711746264,192077.08381286173,20108.690956287308
