turbine,case,seed,U,mean_thrust,std_thrust,DEL
T17,LES,101,10,1892078.2841886873,132192.8998457651,143691.13184625088
T17,LES,102,10,1875759.5615241688,180386.99639268965,165159.85327564282
T17,LES,103,10,1880528.5241452504,158822.89575662615,136182.61335291364
T17,LES,104,10,1884329.1987618648,136854.09633242528,120305.94602095611
T17,LES,105,10,1887194.3459036145,173313.11693355103,166972.55874976207
T17,LES,106,10,1882887.4953231146,154052.5180185145,133379.25295911112
T17,Waked_BPA,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T17,Waked_BPA,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T17,Waked_BPA,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T17,Waked_BPA,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T17,Waked_BPA,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T17,Waked_BPA,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T17,Waked_NPA,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T17,Waked_NPA,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T17,Waked_NPA,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T17,Waked_NPA,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T17,Waked_NPA,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T17,Waked_NPA,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T17,Waked_TurbOPark_A0.04,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T17,Waked_TurbOPark_A0.04,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T17,Waked_TurbOPark_A0.04,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T17,Waked_TurbOPark_A0.04,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T17,Waked_TurbOPark_A0.04,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T17,Waked_TurbOPark_A0.04,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T17,Waked_TurbOPark_A0.06,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T17,Waked_TurbOPark_A0.06,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T17,Waked_TurbOPark_A0.06,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T17,Waked_TurbOPark_A0.06,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T17,Waked_TurbOPark_A0.06,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T17,Waked_TurbOPark_A0.06,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T30,LES,101,10,1873408.455133438,133031.01935166915,147504.91027198266
T30,LES,102,10,1856814.8188056475,182359.79996810207,165351.23742616927
T30,LES,103,10,1861407.556885497,159902.66171433136,136905.78582150338
T30,LES,104,10,1865094.730839799,137805.1635509154,119649.03828974062
T30,LES,105,10,1868845.7739334526,174286.36186595482,166887.60633244968
T30,LES,106,10,1865080.9257162036,154873.66459952045,135992.00333849766
T30,Waked_BPA,101,10,2009401.0121077907,129003.48583999378,135297.82862775383
T30,Waked_BPA,102,10,1992582.0797316204,179202.70027232898,163080.6465260998
T30,Waked_BPA,103,10,1998705.1255343265,164765.35045699123,138184.16327642647
T30,Waked_BPA,104,10,2002888.6740693015,150759.89561695544,130067.97543637796
T30,Waked_BPA,105,10,2005109.946738897,180651.9923801521,169984.2530690437
T30,Waked_BPA,106,10,2003287.8908379101,159519.3955169731,141126.10337603532
T30,Waked_NPA,101,10,2009411.7085058137,129003.62509928623,135305.7181751889
T30,Waked_NPA,102,10,1992593.3486396184,179202.3277483272,163084.28587694926
T30,Waked_NPA,103,10,1998717.3421028245,164768.2332082299,138192.77149108896
T30,Waked_NPA,104,10,2002902.0729983323,150761.2614544064,130066.39616338893
