TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.14076206992503712,0.024216095610485232,2.4216095610485233,0.017165742918137543,0.2739494716954527,0.17123598018452663,8.126257604761541,0.06420000000000001,8.200173484848484,0.08839621212121211
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.12434262226560674,0.018055474274338325,1.8055474274338326,0.01516341361501137,0.2042561987789703,0.12861908471338673,8.16714377764035,0.07036741444444443,8.200173484848484,0.08839621212121211
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.11942463550161318,0.011901891353289538,1.1901891353289538,0.014563671820148059,0.13464254935459485,0.08661099834081613,8.206041635820045,0.07653482888888886,8.200173484848484,0.08839621212121211
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.12561991830713404,0.0057778790363598965,0.5777879036359896,0.015319178129492359,0.06536342336068719,0.04534572526820926,8.242948109468085,0.08270224333333333,8.200173484848484,0.08839621212121211
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.1400415415182425,0.001089383491333573,0.1089383491333573,0.017077875459220244,0.012323870731471735,0.014225472622571138,8.277904047682005,0.08886965777777778,8.200173484848484,0.08839621212121211
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.159341302500418,0.006712944844303205,0.6712944844303205,0.0194314550533393,0.07594154413650858,0.053337508503240864,8.310980564935399,0.09503707222222223,8.200173484848484,0.08839621212121211
10.1%,0.10120448666666666,10.120448666666666,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.1810854610973536,0.012845797072708564,1.2845797072708565,0.022083125610933285,0.1453206734140818,0.0960256542928224,8.342270956937183,0.10120448666666665,8.200173484848484,0.08839621212121211
10.7%,0.10737190111111111,10.737190111111111,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.20379930202898525,0.01900103624129071,1.9001036241290707,0.024853047609973932,0.21495305947313437,0.1389130547278702,8.371863826184233,0.10737190111111113,8.200173484848484,0.08839621212121211
11.4%,0.11353931555555555,11.353931555555555,Nygaard2022,"TurbOPark, A=0.04",0.22063689277146092,0.025162238690378112,2.516223869037811,0.02690636889318661,0.2846529063471038,0.1815542913655369,8.036934677633857,0.11353931555555553,8.200173484848484,0.08839621212121211
12.0%,0.11970673,11.970673,Nygaard2022,"TurbOPark, A=0.04",0.19557111222990942,0.03132588602800189,3.132588602800189,0.023849631058570585,0.35438041151635197,0.2221680993332394,8.072097095135693,0.11970673000000001,8.200173484848484,0.08839621212121211
