TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-360.0,-1.5,False,8.584001809351504,0.11714134603409432,11.714134603409432,8.2632875,0.08397083333333333,8.397083333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-336.0,-1.4,False,8.633340132955565,0.11714134603409432,11.714134603409432,8.315266666666666,0.08191666666666667,8.191666666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-312.0,-1.3,False,8.671119495733967,0.11714134603409432,11.714134603409432,8.355883333333335,0.079275,7.9275
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-288.0,-1.2,False,8.699951635727064,0.11714134603409432,11.714134603409432,8.3695875,0.07785,7.785
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-264.0,-1.1,False,8.721890854269411,0.11714134603409432,11.714134603409432,8.3759625,0.07729166666666666,7.729166666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-240.0,-1.0,False,8.738329103624794,0.11714134603409432,11.714134603409432,8.375008333333334,0.077625,7.7625
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-216.0,-0.9,False,8.750010171159154,0.11714134603409432,11.714134603409432,8.3722125,0.07754166666666668,7.754166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-192.0,-0.8,False,8.75712060473875,0.11714134603409432,11.714134603409432,8.372120833333334,0.07950833333333333,7.950833333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-168.0,-0.7,False,8.759421403074125,0.11714134603409432,11.714134603409432,8.395104166666666,0.08047499999999999,8.0475
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-144.0,-0.6,False,8.756394948270506,0.11714134603409432,11.714134603409432,8.408004166666666,0.0812875,8.12875
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-120.0,-0.5,True,8.747391862391575,0.13173955206037646,13.173955206037647,8.398683333333333,0.0823,8.23
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-96.0,-0.4,True,8.73176996186122,0.13173955206037646,13.173955206037647,8.3687125,0.08320833333333334,8.320833333333335
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-72.0,-0.3,True,8.709021525712231,0.13173955206037646,13.173955206037647,8.326408333333333,0.08410416666666667,8.410416666666668
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-48.0,-0.2,True,8.678886152498677,0.13173955206037646,13.173955206037647,8.278204166666667,0.0857875,8.57875
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,-24.0,-0.1,True,8.641445635719492,0.13173955206037646,13.173955206037647,8.233437499999999,0.08675416666666667,8.675416666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,0.0,0.0,True,8.597195758772386,0.13173955206037646,13.173955206037647,8.177191666666666,0.086725,8.6725
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,24.0,0.1,True,8.547088758264962,0.13173955206037646,13.173955206037647,8.11985,0.0876875,8.76875
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,48.0,0.2,True,8.492540177915508,0.13173955206037646,13.173955206037647,8.045795833333333,0.08802916666666666,8.802916666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,72.0,0.3,True,8.435395315616171,0.13173955206037646,13.173955206037647,7.992312500000001,0.08847916666666668,8.847916666666668
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,96.0,0.4,True,8.377853465250945,0.13173955206037646,13.173955206037647,7.971504166666666,0.087875,8.7875
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,120.0,0.5,True,8.322352346977846,0.13173955206037646,13.173955206037647,7.900383333333333,0.08824166666666666,8.824166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,144.0,0.6,False,8.27141990588632,0.13173955206037646,13.173955206037647,7.8137875,0.08926666666666666,8.926666666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,168.0,0.7,False,8.22750526512545,0.13173955206037646,13.173955206037647,7.7564625,0.08883333333333333,8.883333333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,192.0,0.8,False,8.19280422660672,0.13173955206037646,13.173955206037647,7.7120999999999995,0.08899166666666665,8.899166666666664
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,216.0,0.9,False,8.169096603751719,0.13173955206037646,13.173955206037647,7.672833333333334,0.08954166666666667,8.954166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,240.0,1.0,False,8.157612373624962,0.13173955206037646,13.173955206037647,7.6561375,0.08814583333333334,8.814583333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,264.0,1.1,False,8.158941025556501,0.13173955206037646,13.173955206037647,7.682908333333333,0.08612916666666667,8.612916666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,288.0,1.2,False,8.172993825699558,0.13173955206037646,13.173955206037647,7.7153375,0.08383333333333333,8.383333333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,312.0,1.3,False,8.199022631549802,0.13173955206037646,13.173955206037647,7.762645833333334,0.08387916666666667,8.387916666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,336.0,1.4,False,8.23569223516292,0.13173955206037646,13.173955206037647,7.799054166666666,0.083925,8.3925
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,360.0,1.5,False,8.281196902700504,0.13173955206037646,13.173955206037647,7.8517125,0.0846125,8.46125
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-360.0,-1.5,False,8.692030788714836,0.13006038324137856,13.006038324137856,8.2632875,0.08397083333333333,8.397083333333333
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-336.0,-1.4,False,8.733614631076463,0.13006038324137856,13.006038324137856,8.315266666666666,0.08191666666666667,8.191666666666666
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-312.0,-1.3,False,8.766063900119784,0.10355678384340902,10.355678384340901,8.355883333333335,0.079275,7.9275
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-288.0,-1.2,False,8.789983251927572,0.10355678384340902,10.355678384340901,8.3695875,0.07785,7.785
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-264.0,-1.1,False,8.806197490577874,0.10355678384340902,10.355678384340901,8.3759625,0.07729166666666666,7.729166666666666
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-240.0,-1.0,False,8.815591804310742,0.10355678384340902,10.355678384340901,8.375008333333334,0.077625,7.7625
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-216.0,-0.9,False,8.819055342164116,0.11498986012788875,11.498986012788876,8.3722125,0.07754166666666668,7.754166666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-192.0,-0.8,False,8.817399163978095,0.11498986012788875,11.498986012788876,8.372120833333334,0.07950833333333333,7.950833333333334
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-168.0,-0.7,False,8.81134732934287,0.11498986012788875,11.498986012788876,8.395104166666666,0.08047499999999999,8.0475
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-144.0,-0.6,False,8.801531885035468,0.11498986012788875,11.498986012788876,8.408004166666666,0.0812875,8.12875
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-120.0,-0.5,True,8.788500513817002,0.11498986012788875,11.498986012788876,8.398683333333333,0.0823,8.23
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-96.0,-0.4,True,8.77274100379109,0.11498986012788875,11.498986012788876,8.3687125,0.08320833333333334,8.320833333333335
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-72.0,-0.3,True,8.754716827278006,0.11498986012788875,11.498986012788876,8.326408333333333,0.08410416666666667,8.410416666666668
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-48.0,-0.2,True,8.734884114728807,0.11498986012788875,11.498986012788876,8.278204166666667,0.0857875,8.57875
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,-24.0,-0.1,True,8.713720498094084,0.11498986012788875,11.498986012788876,8.233437499999999,0.08675416666666667,8.675416666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,0.0,0.0,True,8.691732485110169,0.11498986012788875,11.498986012788876,8.177191666666666,0.086725,8.6725
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,24.0,0.1,True,8.66946728472788,0.11498986012788875,11.498986012788876,8.11985,0.0876875,8.76875
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,48.0,0.2,True,8.647506809554123,0.11498986012788875,11.498986012788876,8.045795833333333,0.08802916666666666,8.802916666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,72.0,0.3,True,8.626454386682319,0.11498986012788875,11.498986012788876,7.992312500000001,0.08847916666666668,8.847916666666668
